Latitude,Longitude,Elevation
43.24337000,-79.9706200,152.0
43.24336000,-79.9706800,153.0
43.24335000,-79.9707300,153.0
43.24334000,-79.9707800,153.0
43.24333000,-79.9708200,153.0
43.24333000,-79.9708600,154.0
43.24333000,-79.9709100,154.0
43.24333000,-79.9709500,154.0
43.24334000,-79.9709900,154.0
43.24336000,-79.9710300,154.0
43.24337000,-79.9710700,154.0
43.24338000,-79.9711200,154.0
43.24338000,-79.9711600,154.0
43.24339000,-79.9712000,154.0
43.24338000,-79.9712400,154.0
43.24338000,-79.9712800,154.0
43.24337000,-79.9713300,154.0
43.24336000,-79.9713800,154.0
43.24335000,-79.9714300,154.0
43.24335000,-79.9714700,154.0
43.24334000,-79.9715100,154.0
43.24334000,-79.9715500,154.0
43.24333000,-79.9715900,155.0
43.24332000,-79.9716400,155.0
43.24332000,-79.9716800,155.0
43.24331000,-79.9717300,154.0
43.24331000,-79.9717700,154.0
43.24330000,-79.9718200,154.0
43.24329000,-79.9718600,154.0
43.24328000,-79.9719100,154.0
43.24327000,-79.9719600,154.0
43.24325000,-79.9720000,154.0
43.24324000,-79.9720400,154.0
43.24323000,-79.9720800,154.0
43.24322000,-79.9721300,154.0
43.24322000,-79.9721700,154.0
43.24321000,-79.9722200,154.0
43.24321000,-79.9722600,154.0
43.24321000,-79.9723000,154.0
43.24320000,-79.9723500,154.0
43.24318000,-79.9723900,154.0
43.24316000,-79.9724300,154.0
43.24315000,-79.9724700,154.0
43.24314000,-79.9725100,154.0
43.24313000,-79.9725500,154.0
43.24312000,-79.9725900,155.0
43.24311000,-79.9726300,155.0
43.24310000,-79.9726700,155.0
43.24310000,-79.9727200,156.0
43.24310000,-79.9727600,156.0
43.24310000,-79.9728100,156.0
43.24310000,-79.9728600,157.0
43.24311000,-79.9729100,157.0
43.24311000,-79.9729500,157.0
43.24312000,-79.9729900,157.0
43.24312000,-79.9730400,157.0
43.24312000,-79.9730900,158.0
43.24313000,-79.9731400,158.0
43.24313000,-79.9731900,158.0
43.24313000,-79.9732400,158.0
43.24313000,-79.9732900,158.0
43.24313000,-79.9733400,158.0
43.24312000,-79.9733800,159.0
43.24313000,-79.9734200,159.0
43.24310000,-79.9734700,159.0
43.24309000,-79.9735200,160.0
43.24308000,-79.9735600,160.0
43.24306000,-79.9736300,160.0
43.24304000,-79.9736800,161.0
43.24302000,-79.9737200,161.0
43.24299000,-79.9737500,161.0
43.24297000,-79.9737900,161.0
43.24296000,-79.9738200,161.0
43.24293000,-79.9738600,162.0
43.24291000,-79.9738900,162.0
43.24290000,-79.9739200,162.0
43.24288000,-79.9739600,162.0
43.24287000,-79.9740100,163.0
43.24286000,-79.9740500,163.0
43.24285000,-79.9740900,163.0
43.24283000,-79.9741200,163.0
43.24282000,-79.9741600,163.0
43.24281000,-79.9742100,164.0
43.24281000,-79.9742600,163.0
43.24282000,-79.9743200,163.0
43.24282000,-79.9743700,163.0
43.24283000,-79.9744100,162.0
43.24285000,-79.9744500,161.0
43.24286000,-79.9744900,161.0
43.24288000,-79.9745300,160.0
43.24291000,-79.9745600,159.0
43.24293000,-79.9745900,158.0
43.24297000,-79.9746100,157.0
43.24300000,-79.9746200,156.0
43.24303000,-79.9746400,155.0
43.24305000,-79.9746700,155.0
43.24307000,-79.9746900,154.0
43.24310000,-79.9747300,154.0
43.24312000,-79.9747700,153.0
43.24314000,-79.9748100,153.0
43.24317000,-79.9748500,152.0
43.24320000,-79.9748900,152.0
43.24322000,-79.9749300,152.0
43.24325000,-79.9749600,151.0
43.24327000,-79.9749900,151.0
43.24329000,-79.9750200,150.0
43.24332000,-79.9750500,150.0
43.24336000,-79.9750800,150.0
43.24339000,-79.9751100,150.0
43.24342000,-79.9751400,149.0
43.24344000,-79.9751700,149.0
43.24347000,-79.9751900,149.0
43.24348000,-79.9752400,149.0
43.24350000,-79.9752700,149.0
43.24352000,-79.9753000,148.0
43.24353000,-79.9753500,148.0
43.24354000,-79.9753900,148.0
43.24355000,-79.9754400,148.0
43.24354000,-79.9754900,148.0
43.24353000,-79.9755300,148.0
43.24352000,-79.9755700,148.0
43.24352000,-79.9756100,148.0
43.24350000,-79.9756500,148.0
43.24349000,-79.9757000,148.0
43.24349000,-79.9757400,148.0
43.24348000,-79.9757900,148.0
43.24347000,-79.9758400,148.0
43.24346000,-79.9758900,147.0
43.24345000,-79.9759300,147.0
43.24344000,-79.9759700,147.0
43.24342000,-79.9760200,147.0
43.24340000,-79.9760700,147.0
43.24338000,-79.9761200,147.0
43.24337000,-79.9761600,147.0
43.24335000,-79.9762000,147.0
